NAME			STATION_ID	PROVINCE	AREA_SERVED			LAT		LON		ELEV		FEEDHORN_HEIGHT		BAND
----------------------	----------	--------	------------------------------	---------	----------	---------	---------------		----
RADISSON		CASRA		SK		"SASKATOON/NORTH BATTLEFORD"	52.520480	-107.442690	532.0		21.3			S
BLAINVILLE		CASBV		QC		"MONTREAL"			45.706280	-73.858920	70.7		33.8			S
FOXWARREN		CASFW		MB		"E. SASK./W. MANI."		50.548748	-101.085630	552.5		21.7			S
SPIRIT_RIVER		CASSR		AB		"GRAND PRAIRIE"			55.694942	-119.230432	1015.8		33.8			S
SMOOTH_ROCK_FALLS	CASRF		ON		"NORTHEASTERN ONTARIO"		49.281260	-81.793850	244.5		30.7			S
EXETER			CASET		ON		"SOUTH WESTERN ONTARIO"		43.372425	-81.380698	303.8		30.8			S
BETHUNE			CASBE		SK		"REGINA/MOOSE JAW"		50.571232	-105.182848	586.8		21.7			S
CHIPMAN			CASCM		NB		"FREDERICTON"			46.222378	-65.699294	100.9		30.8			S
MARION_BRIDGE		CASMB		NS		"CAPE BRETON"			45.949718	-60.205246	102.5		24.8			S
MONTREAL_RIVER_HARBOUR	CASMR		ON		"SUPERIOR EAST"			47.247807	-84.596686	527.1		27.7			S
STRATHMORE		CASSM		AB		"CALGARY"			51.206130	-113.399366	969.6		21.7			S
LANDRIENNE		CASLA		QC		"VAL D'OR"			48.551355	-77.808086	394.0		30.8			S
SCHULER			CASSU		AB		"MEDICINE HAT"			50.312503	-110.195362	864.0		21.7			S
DRYDEN			CASDR		ON		"NORTH WESTERN ONTARIO"		49.858047	-92.797566	411.3		33.7			S
HOLYROOD		CASHR		NFL		"E. NEWFOUNDLAND/LABRADOR"	47.326604	-53.126670	293.2		24.7			S
STE-FRANCOISE		CASSF		QC		"QUEBEC"			46.449476	-71.913832	106.1		30.8			S
WOODLANDS		CASWL		MB		"WINNIPEG"			50.153001	-97.780482	274.4		21.8			S
VAL_D'IRENE		CASVD		QC		"LOWER ST. LAWRENCE"		48.480468	-67.601036	713.8		24.7			S
ALDERGROVE		CASAG		BC		"VANCOUVER"			49.016440	-122.48736	93.0		33.8			S
BRITT			CASBI		ON		"GEORGIAN BAY"			45.793090	-80.53414	190.3		33.8			S
CARVEL			CASCV		AB		"EDMONTON"			53.56061	-114.14447	782.7		28.1			S
FRANKTOWN		CASFT		ON		"EASTERN ONTARIO"		45.04115	-76.11638	145.5		27.7			S
GORE			CASGO		NS		"HALIFAX"			45.09818	-63.70494	214.2		30.8			S
KING_CITY		CASKR		ON		"SOUTHERN ONTARIO"		43.96366	-79.57288	358.5		33.8			S
COLD_LAKE		CASCL		SK		"NW. SASK./NE. ALB."		54.37888	-110.06138	634.4		33.8			S
SHUNIAH			CASSN		ON		"SUPERIOR WEST"			48.596001	-89.100038	504.0		30.9			S
FORT_MCMURRAY		CASFM		AB		"LOWER ATHABASCA"		56.375628	-111.215150	756.4		30.8			S
MARBLE_MOUNTAIN		CASMM		NFL		"W. NEWFOUNDLAND/LABRADOR"	48.930228	-57.834579	542.0		24.7			S
SILVER_STAR_MOUNTAIN	CASSS		BC		"SOUTHERN INTERIOR B.C."	50.369109	-119.064196	1884.5		33.8			S
PRINCE_GEORGE		CASPG		BC		"CENTRAL INTERIOR B.C."		53.615390	-122.954690	1114.2		30.8			S
MT_APICA		CASMA		QC		"SAGUENAY"			47.977908	-71.430833	887.0		31.2			S
HALFMOON_PEAK		CASHP		BC		"VICTORIA/N. STRT. GEORGIA, BC"	49.526953	-123.853638	572.0		39.9			S
