NCDCID   ICAO WBAN  NAME                           COUNTRY              ST COUNTY                         LAT       LON        ELEV   UTC   BAND
-------- ---- ----- ------------------------------ -------------------- -- ------------------------------ --------- ---------- ------ ----- ---------
30001800 KARX 94987 LA_CROSSE                      UNITED_STATES        WI LA_CROSSE                      43.822778 -91.191111 1357   -6    S                                             
30001801 KATX 94287 SEATTLE                        UNITED_STATES        WA ISLAND                         48.194611 -122.49569 642    -8    S
30001807 KBGM 04725 BINGHAMTON                     UNITED_STATES        NY BROOME                         42.199694 -75.984722 1703   -5    S                                             
30001808 KBHX 94289 EUREKA                         UNITED_STATES        CA HUMBOLDT                       40.498583 -124.29216 2516   -8    S                                             
30001813 KBOX 54765 BOSTON                         UNITED_STATES        MA BRISTOL                        41.955778 -71.136861 232    -5    S                                             
30001822 KCXX 54774 BURLINGTON                     UNITED_STATES        VT CHITTENDEN                     44.511    -73.166431 431    -5    S                                             
30001836 KEMX 53112 TUCSON                         UNITED_STATES        AZ PIMA                           31.89365  -110.63025 5319   -7    S                                             
30001837 KENX 54766 ALBANY                         UNITED_STATES        NY ALBANY                         42.586556 -74.064083 1935   -5    S                                             
30001841 KESX 53110 LAS_VEGAS                      UNITED_STATES        NV CLARK                          35.70135  -114.89165 4948   -8    S                                             
30001847 KFFC 53819 PEACHTREE_CITY                 UNITED_STATES        GA FAYETTE                        33.36355  -84.56595  972    -5    S
30001849 KFTG 03018 DENVER_FRONT_RANGE_AP          UNITED_STATES        CO ARAPAHOE                       39.786639 -104.54580 5611   -7    S
30001852 KGJX 03025 GRAND_JUNCTION                 UNITED_STATES        CO MESA                           39.062169 -108.21376 10101  -7    S                                             
30001858 KGWX 53837 COLUMBUS_AFB                   UNITED_STATES        MS MONROE                         33.896917 -88.329194 590    -6    S                                             
30001865 KICX 53118 CEDAR_CITY                     UNITED_STATES        UT IRON                           37.59105  -112.86218 10757  -7    S                                             
30001875 KLBB 23042 LUBBOCK                        UNITED_STATES        TX LUBBOCK                        33.654139 -101.81416 3378   -6    S                                             
30001878 KLNX 94049 NORTH_PLATTE                   UNITED_STATES        NE LOGAN                          41.957944 -100.57622 3113   -6    S
30001882 KLTX 93774 WILMINGTON                     UNITED_STATES        NC BRUNSWICK                      33.98915  -78.429108 145    -5    S                                             
30001887 KMAX 94296 MEDFORD                        UNITED_STATES        OR JACKSON                        42.081169 -122.71736 7561   -8    S                                             
30001889 KMHX 93768 MOREHEAD_CITY                  UNITED_STATES        NC CARTERET                       34.775908 -76.876189 145    -5    S                                             
30001897 KMTX 04104 SALT_LAKE_CITY                 UNITED_STATES        UT SALT_LAKE                      41.262778 -112.44777 6594   -7    S                                             
30001901 KNKX 53115 SAN_DIEGO                      UNITED_STATES        CA SAN_DIEGO                      32.919017 -117.0418  1052   -8    S                                             
30001902 KNQA 93839 MEMPHIS                        UNITED_STATES        TN SHELBY                         35.344722 -89.873333 435    -6    S                                             
30001915 KRLX 53834 CHARLESTON                     UNITED_STATES        WV KANAWHA                        38.311111 -81.722778 1213   -5    S                                             
30001916 KRTX 94288 PORTLAND                       UNITED_STATES        OR WASHINGTON                     45.715039 -122.965   1728   -8    S                                             
30001922 KSOX 53117 SANTA_ANA_MOUNTAINS            UNITED_STATES        CA ORANGE                         33.817733 -117.636   3106   -8    S                                             
30001948 KSRX 53906 FORT_SMITH                     UNITED_STATES        AR SEBASTIAN                      35.290417 -94.361889 737    -6    S                                             
30001923 KTBW 92801 TAMPA                          UNITED_STATES        FL HILLSBOROUGH                   27.7055   -82.401778 122    -5    S                                             
30001925 KTFX 04102 GREAT_FALLS                    UNITED_STATES        MT CASCADE                        47.459583 -111.38533 3805   -7    S                                             
30001924 KTLH 93805 TALLAHASSEE                    UNITED_STATES        FL LEON                           30.397583 -84.328944 177    -5    S                                             
30001926 KTLX 03979 OKLAHOMA_CITY                  UNITED_STATES        OK OKLAHOMA                       35.333361 -97.277761 1278   -6    S                                             
30001927 KTWX 03986 TOPEKA                         UNITED_STATES        KS WABAUNSEE                      38.99695  -96.23255  1415   -6    S                                             
30001946 KTYX 54776 FORT_DRUM                      UNITED_STATES        NY LEWIS                          43.755694 -75.679861 1960   -5    S                                             
30001928 KUDX 94047 RAPID_CITY                     UNITED_STATES        SD PENNINGTON                     44.124722 -102.83    3195   -6    S                                             
30001929 KUEX 94981 HASTINGS                       UNITED_STATES        NE WEBSTER                        40.320833 -98.441944 2057   -6    S                                             
30001947 KVAX 53856 MOODY_AFB                      UNITED_STATES        GA LANIER                         30.890278 -83.001806 330    -5    S                                             
30001930 KVBX 93234 VANDENBERG_AFB                 UNITED_STATES        CA SANTA_BARBARA                  34.83855  -120.39791 1354   -8    S                                             
30001931 KVNX 03995 VANCE_AFB                      UNITED_STATES        OK ALFALFA                        36.740617 -98.127717 1258   -6    S                                             
30001932 KVTX 53101 LOS_ANGELES                    UNITED_STATES        CA VENTURA                        34.412017 -119.17875 2807   -8    S                                             
30001609 KVWX 63845 EVANSVILLE                     UNITED_STATES        IN GIBSON                         38.26025  -87.724528 625    -6    S                                             
30001934 KYUX 53116 YUMA                           UNITED_STATES        AZ PIMA                           32.495281 -114.65671 239    -7    S                                             
